sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
SH0089,109354,-0.03682650637864494,-0.005494774283409361,0.002230326845739444,0.00731704120041219,0.002110760072607477,0.009974569501007365,-0.007871511302639887,0.0017625629166228439,-0.0035456449514763315,-0.001957728085914711,-0.00018443516152859718,-0.0030979750581560817,-0.0005349519352629521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0090,109355,-0.03680382407618677,-0.006833235454059702,0.0076704639942557105,0.011210317223827343,0.004194096532792554,0.005663307356847949,-0.004513173072099345,0.0005322892957765997,0.0027817997879992598,-0.004248256832109196,-0.0007923388987775668,0.001366715442189189,0.00019383876111208923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0091,109356,-0.03474373223238356,-0.0528537610922714,-0.034167371352527745,-0.011612627731112006,-0.006915688877173911,0.007871232979030012,-0.008358284835205596,-0.0016892538129585945,0.00029307417533283055,-0.0006577410185760171,0.0001819340636792989,0.0002003584332853744,-9.013122816431263e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0092,109357,-0.03687382422743839,-0.010178058130491097,-0.0033425050120504474,0.0038924772606902637,-0.00015832319794552088,-0.0032411103067221812,0.0012288999925389097,-0.001957107364768448,-0.0018221054179831423,0.0016001756166060012,0.0015423913853057512,-0.002592728435868376,-0.0005634572855778418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0093,109358,-0.03666294818945354,-0.017964680565776013,-0.006473750901150101,-0.009047010067694745,-0.0010146296465439824,0.0020646453779936762,0.009945962242738539,-0.00012539442350254054,0.004820454874587468,0.0002427083767144313,-0.00010832878932374094,-0.0003323283474476951,0.0010781073072652736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0094,109359,-0.02856343379119779,0.04528038588578179,-0.02088463738905698,0.006147386256756604,-0.006623141484697674,-0.015451775452115108,-0.007325829808451259,0.005155008294916398,-0.0008641243153996923,0.0019439496003297618,-0.0009324231402736386,0.0008841388193254366,0.00014310569709035056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0095,109360,-0.03682775406158531,-0.005185620775239203,0.006285293273911116,-0.007336013905573739,-0.000484178540794797,-0.008807561399163564,-0.004976533727061956,-0.0006335522936018936,0.003429189569132032,0.0015325095857706098,-0.004715828205313153,-0.0002613409378419085,-0.0009448389893224194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0096,109361,-0.0366793611930819,-0.01693326072038111,0.008497727224592558,0.01133844170817574,0.0013554054931065223,-0.0007844298292286347,-0.0005896815378050679,-0.005383994228587961,0.0029041224514120903,0.0015015288328630795,0.0017335779141555946,0.0011457929550686492,-0.0018265370564150857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0097,109362,-0.03661420523813785,-0.019995547185532862,-0.010691525184572646,-0.0072708510752629955,-4.404762891907074e-05,-0.003571307746192407,0.009602788887187292,0.00421495668024637,-0.0026698264968124364,-0.0008172925323050572,-0.00022544644689674243,-0.0009245423178743001,-0.0009046759851909613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0098,109363,-0.03678357224959438,-0.011411127781795044,-0.002862920660435519,-0.009796805211045848,0.0020128645855939003,-0.009248584252941939,-0.0015046626346590113,-0.0016542674906730782,-0.004364740937104002,0.00447339346945395,-0.000669307341429592,0.0006857367586800456,0.0004295271122721299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
