sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25
SH0091,109356,-0.004309710972562146,0.002422981756882995,-0.002285366241435277,-0.0009402218208889692,-0.0001025014367858464,0.00016654798441615172,-0.0005767443469369804,-5.6728209070531385e-05,-0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0092,109357,-0.006065754861412742,0.0008499042788553195,-2.033463230620363e-05,-0.00024740822618280487,0.00010661277630169048,-0.00013907650500155432,0.00040823272198292377,5.54421960557007e-05,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0093,109358,-0.005249609353136096,0.0002618889464375672,-0.0005416806177933411,0.0002898149018370222,-5.6490112617424076e-05,-0.0002686684737742284,0.0002695824767756789,0.0005750712318541982,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0094,109359,-0.007669793154407953,-0.0008071584782160296,-0.001248133621417397,-0.0014634878884366514,0.0008907667897290381,0.0008409545931330208,0.0003883783153536169,-0.00040043583343022103,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0095,109360,-0.006053221620964826,0.00013162163853701138,1.1089337754672497e-05,0.0008535421675002613,0.000744466471450284,0.000488597235873624,-0.00019942372628031858,7.872745526841233e-05,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0096,109361,-0.005686278548060286,0.0007974356621402846,0.0013972186550349481,9.69582086214538e-05,6.287817937066511e-05,0.00016209395769048904,-0.00046588550770437613,0.00022013192721775303,-0.0,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0097,109362,-0.005458886568590922,0.0008496955189429734,-0.0008177377071672193,7.917806792674476e-05,0.0002297744206230272,-0.0005392379197448548,0.0006907648281827172,0.0001256725416329147,0.0,-0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0098,109363,-0.006005087196277819,0.0007297630374258244,-0.0007511210687622444,0.0006094591983235441,0.0006450557334921368,8.332932295376838e-06,0.00028409105034149236,-0.00010618882363671342,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0100,109364,-0.006369976904857086,-0.004407842433396075,-0.0004831570581842784,0.0018476224515623927,0.00040683718133365735,0.0001878292497260763,-0.00030319475472931264,0.00015987291534250037,0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0101,109365,-0.00588755207186169,0.0012219259579560827,0.00039165541725582145,-0.0005648263965874811,-0.0002983200434065118,-0.0001861165692114898,-2.227461231457464e-06,-0.00011803054758316746,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
