sample,sample_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21
SH0166,109430,0.006740488037553952,-0.058034564112922106,-0.0116029023117212,1.6317749768749417e-06,-0.002401331591632729,-0.0031045068027223304,0.004157953844213769,0.007453061235734338,0.001493878854276036,-0.0005724628012831471,2.2105248125876097e-05,5.538056497019347e-05,-2.4587884347703222e-05,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0029,109293,-0.006020696920654464,-0.015378837796059038,0.04524122139133537,-0.0009367654618639777,-0.004394790219126202,0.00531312566207382,0.002454157071340609,0.00047523438957591417,-0.0021234883958311827,0.0027688360544142776,-7.87571459969645e-05,-9.542046393317235e-05,-5.9357984587550224e-05,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0158,109422,0.011306109154328333,-0.06152973618678296,-0.016733058224846133,0.0014599895599349104,0.004165739184068832,0.003717823781939794,-0.007445637154600549,-0.0004452240183901874,-0.0007752719478041283,-0.000995307200438158,-0.00018372343272089905,0.00011789174140453846,2.8497911288552003e-06,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0065,109330,-0.011019757900095326,0.0006910236032307345,0.016650285461831355,0.0019743290441804557,0.01239363108240616,-0.008811686698355022,-0.004278848672578075,0.001680121399449711,0.0014259236889966125,0.002746126353104639,0.00010422789037442873,-0.0004533912258441173,-2.707910592024015e-05,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0145,109409,-0.00908826170809857,-0.00974472366158224,0.040766271046379324,0.0005551636796036915,0.0026064289817282395,-0.0013012129869147376,-0.000725752879369569,-0.0015128947089543834,0.0014337199606238294,-0.004544943383366546,-1.6541532050754877e-05,0.00029822449174740986,7.570443967643247e-05,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0126,109390,0.009264022629674275,0.0049650461575312,-0.004454748225500481,0.0030727989969188676,0.009142173510234825,0.001795005383132691,0.004965768843975741,-0.000705304755643188,0.00031551563182908237,0.0006682934937477212,-0.00045079832354443135,8.936157538599777e-06,8.560918604400485e-05,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0129,109393,-0.07871264962788074,0.04361509243528135,-0.01136536212865668,-0.02492164458801488,0.004307976888621797,0.0006853139466270707,0.00013444357723587646,4.43570695392085e-05,-0.00038710331724873116,-1.63186216484025e-05,2.592045927377845e-07,5.744377981775814e-05,8.839479692359025e-06,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0130,109394,-0.06448850911878448,0.03786845817221776,-0.009122975863358928,0.015714546116578885,0.0015516764452852823,0.005835969928211615,0.0025523139339759214,0.0005982360032089711,0.002971750387645103,0.0003316246256421573,4.0871037322363924e-05,-0.0001326457506093082,3.778824697273276e-05,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0137,109401,-0.0611524942786463,0.036087292636692705,-0.007785551211762593,0.016198256885580846,-0.005331518986417068,-0.006289801509389413,-0.002091106381433773,-0.0006829100056480533,-0.003140936776971864,-0.0004767689819094284,-7.607188410933401e-05,0.00013852998069018856,-4.858627194104411e-05,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0156,109420,0.008319073457274671,-0.0602070223861487,-0.01378660615531779,0.0008380933921916563,0.002163284943205664,-0.0022846403726696006,0.004055796835115198,-0.006422796081723364,-0.0008459643136879823,0.0015332942017389998,0.00017648497829575482,-0.0001195853351903582,1.8624985111306632e-05,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
SH0131,109395,0.1402758782356606,0.06666425763936673,-0.003982324446823752,0.00041919169656997983,0.0012569444483934052,-0.0009024799823660753,6.059816508457884e-06,0.00011799243797654733,6.0083729710794584e-05,8.596945113649015e-05,-6.955646761939884e-06,1.957128223036901e-06,-9.357260120221314e-07,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0
proportion_explained,0,0.5550352657012384,0.32427577059515605,0.07959571649233457,0.019258539786518654,0.00936306082045106,0.005324321365658562,0.0029556724444587293,0.0018507590387245156,0.0011766015362160078,0.0008321900486163355,0.0001745246394266992,0.00012260643899302703,3.497109220745441e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
