sample,analysis_type_uid,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40,PC41,PC42,PC43
C50b/C1/C3-C1c-C1b,73913,0.008011919055681457,-0.010345920361589567,0.03901776037889539,-0.019069859239607488,-0.019861472386706665,0.030098372807240377,-0.007815830798475408,-0.009618021774291233,0.00032324578100616274,0.014383263432166806,-0.0009974896175903073,0.012118209758316264,-0.007807549883656551,0.0031940509253814346,0.004305713877167864,0.004811641707469484,0.0005281032173089331,0.004678521251094152,-0.0028083273748908126,0.004295646707848435,0.0002526540176590155,-0.0013306030567594726,-0.000993320692567016,-0.0006553976712181733,-0.0009256520674512419,0.0002649418442028863,0.0008060054778956886,0.0002859809310846313,-9.667299648260173e-05,7.229113922592462e-05,-2.7254843120417002e-05,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C21-C21an-C21ao-C3,74172,-0.01229502050391339,-0.004036694031394835,-0.0004775850927047148,0.005794948441462227,-0.0007754915327956769,0.0007452004020515069,0.005632661447369047,-0.0036841642981397596,-0.0004091041561080359,-0.00493861540817447,0.004869569952951333,-0.00038875560398390376,-0.001276082979438035,-0.00028024076685952094,0.00434401296407791,-0.002186634522694792,0.0003725408950703524,0.0015635376520609244,0.0009944961206687659,-0.00521679663594426,0.0014277049687926363,0.005190207900324125,-0.008901199319365808,0.002493910470098176,-0.002488712804163005,-1.14781089974226e-06,0.0012727667363936193,0.00044629767679718694,-8.703616452463187e-05,-0.0014855984964053477,8.713424436445324e-05,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3/C3u/C3fq/C115-C1,74173,-0.028138728600564742,0.009996893154284495,-0.0006458718879322493,0.006471328604394646,-0.000751489742843076,0.0007876707945586921,0.0077554525348673235,-0.004495614824501929,-0.001130755643310314,-0.014103757620958344,0.01776834176180184,-0.0008973949116637585,-0.001957695597245863,0.01281596225870359,-0.019070605648293347,0.0038553969688117397,-0.0007385752842173838,-0.0014901254213744411,-0.0004082408866996342,0.0019365435747750162,-0.0005111412649097857,-0.0013832602857884796,0.0020166649998730603,-0.00027020650912876713,0.0003318597841093907,-2.6028616311259963e-05,-6.290385453812394e-05,0.0002499310445790917,2.2592155842054705e-05,-0.00279141410661727,-4.2369405066441535e-06,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3u/C3-C115-C1,74174,-0.02396960547320426,0.009139321056495042,-0.001281508423002713,0.005875305847260742,-0.0021849704474241746,0.0017061339795058157,0.008151451292149685,-0.004513054506070239,-0.0009097827433920145,-0.011084137157451332,0.013360733139766505,-0.0003610547977422106,-0.0022932748797004415,0.008956287470486473,-0.011602803908026087,0.0016540470057071403,-0.00037779034955507816,-0.00037937342847288403,0.000427972958735516,-0.0006301271064573658,8.892527084735547e-05,0.0010436429786929078,-0.0021554883442569065,0.0006049391280886926,-0.0002826515290892023,4.508281256929656e-05,0.0005466306821518939,-0.0005315159942621021,-0.00027528505679853734,0.004089919885587085,8.019590118611736e-05,-0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1-C1av-C1aw-C3ct-C3-C1c,74176,0.019362640034776033,0.0039207314181850215,0.0007869840811974538,-0.023330043882615722,0.004420573282445354,0.02717489434366867,-0.03899757193889904,-0.012109067894568943,0.0003722935310523289,-0.010595891361354618,-0.004037184676107612,-0.024596191318480964,-0.002029607142346423,0.0011298369125867902,0.00040960256877441517,-0.0009897205575486896,0.0008292897718317927,-0.00872412226252124,0.002711338907350498,-0.001992657135904106,-0.0003011936790909206,0.0006254113978650356,-7.681360379303622e-05,-0.0010310316168122334,0.0007169518104931527,4.615966117794391e-05,-0.00010232585593700059,-0.0006050500041948449,0.00018155654054718165,1.8107209093124936e-05,-0.00011859236355650431,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C3,74054,0.0018055578192977982,0.0034457090709436988,-0.0024304267841775626,-0.00013477470477413155,-0.004397934410157646,0.005693369524831897,0.005161306736676999,-0.0067396193707906,-0.0002873372803814368,-0.002292027676999916,0.002071589009585042,0.0007803903045794707,-0.009143535715192115,0.0004671797678492853,0.009707024804513624,-0.0017604547506340732,0.0019381314056970468,0.002409316943538346,-0.0007254042962927599,0.0007434764532768283,0.0017703343637028414,-0.0010611456278856752,0.0005903029026325877,-0.0032706145101252847,-0.0004272144823800482,-0.00014296433738672892,-0.0004629834647432431,1.2767576165765853e-05,0.001726526721517688,-2.4284209856285832e-05,-0.0003246913778901233,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C3/C1c-C1b-C72k,74569,0.02076748253703576,0.00677535817995718,-0.0025823218639322693,-0.00767598810024341,-0.0023404617282299176,0.010172560924423351,-0.005351910662246798,-0.002811051413076626,0.00014585569933519294,0.0017804780968685152,-0.003401902478451109,0.005765093287668318,0.005396620191557721,-0.0002752788815430517,-0.0005858124780023149,0.0019282446796431022,-0.006233815760270012,0.0002622252065261957,-0.0008781770134830422,0.0031753653545622635,-0.0060339875226359495,0.0033807961104526697,-0.0001299172239457071,0.0008863565505407013,-0.00019412589151388777,0.0019422356736516061,0.0016167822178629757,-0.0007921861320824094,-0.0014024255517868294,-6.487914707815791e-05,-0.0009163900640393513,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1/C3-C1c-C1b-C72k-C1w,74570,0.02678242910098161,0.007908272554390867,-0.002859695306610287,-0.007001080873740913,-0.0023446451058162844,0.011570020948674764,-0.007511385199660029,-0.002778824349197818,0.00022893831373273422,0.0027025019572517205,-0.004927833847289622,0.008938828833366667,0.011479851159685858,-0.00047012831019065343,-0.004166845674334108,0.0002829193491562164,-0.002567323618865422,0.0006788666917079925,-0.0004593888692866661,0.0005502989780473674,-0.004078909333508151,0.004094825145383575,0.00217775280057914,-0.0003624329932481345,-0.0020452873924601657,0.004545861097917002,0.0025374754379592916,-9.383045808424273e-05,0.0030651032413673636,-1.7728393467870367e-05,0.001195441247245066,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C3-C3de-C3bb-C21ae-C3an-C3s-C3dk,73930,-0.024414254190119226,-0.015922121413179512,0.007232824561385798,0.011812068477127558,0.005242242145795637,-0.008240488481146481,-0.0019499512306246185,-0.0009401514990100983,0.00045651193744207546,0.006838949978199688,-0.0041707373169737015,-0.0025304320003820377,0.002017713329579923,-0.0012188888618861016,0.0024562135847243437,0.02671305771884118,0.00827739142346715,-0.00027631448341667084,0.0019552936754326476,-0.0026163985976258787,0.00044670056264538044,0.001346022264880595,0.0004112215339970238,0.00015495348325044098,0.00039631939162310613,-7.06238757418514e-06,-0.0007156897630907155,-0.00013556437547977416,8.876321787043674e-05,7.831372839874444e-06,-5.2616370854538335e-05,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C1d/C1/C42.2-C1b-C3cg-C3,74062,0.04533844720676823,0.012164514387648685,-0.005505762806271573,0.006957701618150553,-0.0038336892463516595,0.0030145821592003283,0.0026743464393562053,0.021897991092166155,1.3999430621503361e-05,0.00020999906900953262,0.0022360544770923885,-0.006123699664216425,-0.006976507913804421,0.0010911420357090263,0.003283417476056026,0.0030524314723139444,-0.00605449012713951,-0.0004756135342062716,-0.0008960705180099358,0.005291974306850576,-0.007042212472483963,0.002863369759874921,-0.004119091474335525,-0.0008334947170569462,0.0024558401419052375,-0.004123621279505167,-0.003535046077577584,0.00036330346675255836,0.0017862161096866619,-3.9066579184451686e-06,0.0002497399054640455,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
